169508,-268,-428,16628,0
170203,-160,-336,16544,0
170897,-248,-336,16604,0
171591,-256,-296,16596,0
172285,-192,-352,16588,0
172981,-152,-416,16552,0
173675,-244,-380,16512,0
174369,-216,-360,16504,0
175064,-228,-348,16524,0
175758,-216,-296,16620,0
176453,-224,-308,16548,0
177147,-220,-312,16560,0
177842,-292,-368,16572,0
178536,-172,-168,16188,0
179230,-196,-360,16528,0
179924,-252,-420,16544,0
180620,-308,-340,16556,0
181314,-236,-380,16532,0
182008,-252,-316,16620,0
182703,-248,-460,16536,0
183397,-212,-348,16624,0
184092,-164,-372,16552,0
184786,-244,-336,16540,0
185481,-200,-372,16632,0
186175,-168,-332,16556,0
186869,-228,-384,16512,0
187565,-240,-276,16568,0
188259,-256,-288,16604,0
188953,-148,-364,16596,0
189647,-272,-344,16556,0
190342,-240,-316,16524,0
